INFO  - 2018-07-15 14:26:46.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2018-07-15 14:26:46.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2018-07-15 14:26:46.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2018-07-15 14:26:46.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2018-07-15 14:26:46.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2018-07-15 14:26:46.429; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2018-07-15 14:26:46.430; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.431; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.432; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2018-07-15 14:26:46.432; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2018-07-15 14:26:46.432; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2018-07-15 14:26:46.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2018-07-15 14:26:46.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.433; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2018-07-15 14:26:46.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2018-07-15 14:26:46.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2018-07-15 14:26:46.434; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2018-07-15 14:26:46.435; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2018-07-15 14:26:46.436; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2018-07-15 14:26:46.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2018-07-15 14:26:46.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2018-07-15 14:26:46.437; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.494; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2018-07-15 14:26:46.500; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2018-07-15 14:26:46.572; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2018-07-15 14:26:46.576; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2018-07-15 14:26:46.603; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2018-07-15 14:26:46.864; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2018-07-15 14:26:46.872; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2018-07-15 14:26:46.873; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2018-07-15 14:26:46.916; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2018-07-15 14:26:46.920; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2018-07-15 14:26:46.981; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/
INFO  - 2018-07-15 14:26:46.997; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2018-07-15 14:26:47.003; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/, dataDir=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/
INFO  - 2018-07-15 14:26:47.005; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2018-07-15 14:26:47.009; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2018-07-15 14:26:47.009; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2018-07-15 14:26:47.021; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data
INFO  - 2018-07-15 14:26:47.022; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/index/
WARN  - 2018-07-15 14:26:47.023; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2018-07-15 14:26:47.030; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/index
INFO  - 2018-07-15 14:26:47.168; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2018-07-15 14:26:47.169; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
